Treatment,Score 1,Score 2,Score 3,Score 4,Avg Score,Iscore 1,Iscore 2,Iscore 3,Iscore 4,Avg Iscore,Looksold
0,7,9,8,9,8.25,4,3,6,4,4.25,0
0,10,9,6,4,7.25,6,7,8,5,6.5,0
1,4,2,4,5,3.75,3,5,6,5,4.75,0
0,4,8,5,6,5.75,3,2,2,1,2,0
1,1,3,4,3,2.75,7,6,5,8,6.5,1
1,6,7,8,5,6.5,5,6,4,5,5,0
1,5,3,5,7,5,2,3,3,3,2.75,1
0,5,7,7,7,6.5,5,6,6,7,6,1
1,5,7,7,4,5.75,4,3,2,5,3.5,0
0,8,4,6,7,6.25,8,5,4,5,5.5,1
1,5,3,6,2,4,7,8,4,4,5.75,1
0,8,7,7,8,7.5,4,6,4,5,4.75,1
1,6,5,5,5,5.25,3,7,4,5,4.75,0
0,8,9,10,8,8.75,2,2,1,6,2.75,1
0,7,8,8,8,7.75,4,3,8,7,5.5,1
1,6,7,6,5,6,4,5,3,2,3.5,0
0,8,8,8,8,8,5,4,3,4,4,1
1,2,1,1,1,1.25,5,6,4,5,5,1
1,3,5,8,7,5.75,10,6,8,8,8,0
0,7,5,6,5,5.75,9,10,6,5,7.5,0
0,7,4,5,7,5.75,6,5,4,6,5.25,0
1,8,8,8,8,8,5,6,4,5,5,1
0,3,5,3,6,4.25,5,5,4,4,4.5,0
1,5,6,8,4,5.75,9,7,10,7,8.25,1
1,4,6,6,7,5.75,4,5,6,3,4.5,0
0,8,6,3,4,5.25,5,6,4,5,5,1
0,6,8,5,8,6.75,7,7,4,5,5.75,1
1,9,10,6,6,7.75,3,6,5,5,4.75,0
0,8,8,7,8,7.75,8,5,7,6,6.5,0
1,6,6,7,7,6.5,6,8,7,5,6.5,1
